stock,change,month,year,status
untr,-8.48,2,2018,negative
untr,9.89,1,2018,positive
untr,5.67,12,2017,positive
untr,-3.39,11,2017,negative
untr,8.36,10,2017,positive
untr,5.61,9,2017,positive
untr,0.66,8,2017,positive
untr,9.65,7,2017,positive
untr,-1.17,6,2017,negative
untr,3.25,5,2017,positive
untr,1.51,4,2017,positive
untr,7.51,3,2017,positive
untr,12.81,2,2017,positive
untr,2.82,1,2017,positive
untr,1.19,12,2016,positive
untr,-2.89,11,2016,negative
untr,22.18,10,2016,positive
untr,-5.60,9,2016,negative
untr,19.05,8,2016,positive
untr,6.42,7,2016,positive
untr,4.23,6,2016,positive
untr,-5.33,5,2016,negative
untr,-1.96,4,2016,negative
untr,-1.45,3,2016,negative
untr,-10.78,2,2016,negative
untr,2.65,1,2016,positive
untr,3.99,12,2015,positive
untr,-9.94,11,2015,negative
untr,3.58,10,2015,positive
untr,-8.63,9,2015,negative
untr,-5.32,8,2015,negative
untr,-0.86,7,2015,negative
untr,0.37,6,2015,positive
untr,-5.14,5,2015,negative
untr,-1.83,4,2015,negative
untr,5.06,3,2015,positive
untr,15.92,2,2015,positive
untr,3.17,1,2015,positive
untr,-5.32,12,2014,negative
untr,-0.27,11,2014,negative
untr,-7.66,10,2014,negative
untr,-10.16,9,2014,negative
untr,-3.28,8,2014,negative
untr,-0.87,7,2014,negative
untr,6.57,6,2014,positive
untr,-0.12,5,2014,negative
untr,4.58,4,2014,positive
untr,9.35,3,2014,positive
untr,-1.68,2,2014,negative
untr,1.58,1,2014,positive
untr,4.11,12,2013,positive
untr,4.29,11,2013,positive
untr,7.36,10,2013,positive
untr,3.16,9,2013,positive
untr,-5.95,8,2013,negative
untr,-7.69,7,2013,negative
untr,11.66,6,2013,positive
untr,-8.17,5,2013,negative
untr,-2.47,4,2013,negative
untr,-5.70,3,2013,negative
untr,-2.28,2,2013,negative
untr,0.25,1,2013,positive
tins,0.67,9,2022,positive
tins,2.40,8,2022,positive
tins,0.69,7,2022,positive
tins,-23.68,6,2022,negative
tins,2.43,5,2022,positive
tins,1.92,4,2022,positive
tins,14.47,3,2022,positive
tins,15.22,2,2022,positive
tins,-5.15,1,2022,negative
tins,-7.91,12,2021,negative
tins,-0.63,11,2021,negative
tins,5.30,10,2021,positive
tins,-0.98,9,2021,negative
tins,-8.41,8,2021,negative
tins,11.74,7,2021,positive
tins,-6.87,6,2021,negative
tins,-7.51,5,2021,negative
tins,7.12,4,2021,positive
tins,-27.25,3,2021,negative
tins,31.36,2,2021,positive
tins,13.80,1,2021,positive
tins,38.79,12,2020,positive
tins,28.92,11,2020,positive
tins,22.96,10,2020,positive
tins,-15.09,9,2020,negative
tins,4.61,8,2020,positive
tins,27.73,7,2020,positive
tins,34.01,6,2020,positive
tins,-4.72,5,2020,negative
tins,8.88,4,2020,positive
tins,-25.57,3,2020,negative
tins,-19.01,2,2020,negative
tins,-13.94,1,2020,negative
tins,17.02,12,2019,positive
tins,-20.79,11,2019,negative
tins,-7.77,10,2019,negative
tins,-1.53,9,2019,negative
tins,-5.31,8,2019,negative
tins,-8.81,7,2019,negative
tins,1.34,6,2019,positive
tins,-18.25,5,2019,negative
tins,9.16,4,2019,positive
tins,-8.39,3,2019,negative
tins,6.61,2,2019,positive
tins,70.20,1,2019,positive
tins,20.80,12,2018,positive
tins,-3.10,11,2018,negative
tins,-13.42,10,2018,negative
tins,-4.49,9,2018,negative
tins,-7.69,8,2018,negative
tins,4.32,7,2018,positive
tins,-13.83,6,2018,negative
tins,-8.29,5,2018,negative
tins,5.67,4,2018,positive
tins,-16.74,3,2018,negative
tins,10.95,2,2018,positive
tins,35.48,1,2018,positive
tins,-8.82,12,2017,negative
tins,3.66,11,2017,positive
tins,0.61,10,2017,positive
tins,-14.66,9,2017,negative
tins,18.63,8,2017,positive
tins,10.27,7,2017,positive
tins,-18.89,6,2017,negative
tins,-4.76,5,2017,negative
tins,-5.03,4,2017,negative
tins,0.51,3,2017,positive
tins,2.06,2,2017,positive
tins,-9.77,1,2017,negative
tins,-10.79,12,2016,negative
tins,29.57,11,2016,positive
tins,14.11,10,2016,positive
tins,1.88,9,2016,positive
tins,-4.19,8,2016,negative
tins,19.29,7,2016,positive
tins,6.87,6,2016,positive
tins,-15.48,5,2016,negative
tlkm,-1.54,9,2022,negative
tlkm,7.80,8,2022,positive
tlkm,5.75,7,2022,positive
tlkm,-7.19,6,2022,negative
tlkm,-6.71,5,2022,negative
tlkm,0.87,4,2022,positive
tlkm,5.53,3,2022,positive
tlkm,3.58,2,2022,positive
tlkm,3.71,1,2022,positive
tlkm,1.25,12,2021,positive
tlkm,5.00,11,2021,positive
tlkm,2.98,10,2021,positive
tlkm,8.53,9,2021,positive
tlkm,4.94,8,2021,positive
tlkm,2.86,7,2021,positive
tlkm,-8.43,6,2021,negative
tlkm,7.50,5,2021,positive
tlkm,-6.43,4,2021,negative
tlkm,-2.01,3,2021,negative
tlkm,12.22,2,2021,positive
tlkm,-6.04,1,2021,negative
tlkm,2.48,12,2020,positive
tlkm,23.28,11,2020,positive
tlkm,2.34,10,2020,positive
tlkm,-10.49,9,2020,negative
tlkm,-6.23,8,2020,negative
tlkm,0.00,7,2020,positive
tlkm,-3.17,6,2020,negative
tlkm,-10.00,5,2020,negative
tlkm,10.76,4,2020,positive
tlkm,-9.46,3,2020,negative
tlkm,-8.16,2,2020,negative
tlkm,-4.28,1,2020,negative
tlkm,1.02,12,2019,positive
tlkm,-4.38,11,2019,negative
tlkm,-4.64,10,2019,negative
tlkm,-3.15,9,2019,negative
tlkm,3.49,8,2019,positive
tlkm,3.86,7,2019,positive
tlkm,6.15,6,2019,positive
tlkm,2.90,5,2019,positive
tlkm,-4.05,4,2019,negative
tlkm,2.33,3,2019,positive
tlkm,-1.03,2,2019,negative
tlkm,4.00,1,2019,positive
tlkm,1.90,12,2018,positive
tlkm,-4.42,11,2018,negative
tlkm,5.77,10,2018,positive
tlkm,4.30,9,2018,positive
tlkm,-2.24,8,2018,negative
tlkm,-4.80,7,2018,negative
tlkm,6.53,6,2018,positive
tlkm,-8.09,5,2018,negative
tlkm,6.39,4,2018,positive
tlkm,-10.00,3,2018,negative
tlkm,0.25,2,2018,positive
tlkm,-10.14,1,2018,negative
tlkm,6.99,12,2017,positive
tlkm,2.98,11,2017,positive
tlkm,-13.89,10,2017,negative
tlkm,-0.21,9,2017,negative
tlkm,0.00,8,2017,positive
tlkm,3.76,7,2017,positive
tlkm,3.91,6,2017,positive
tlkm,-0.46,5,2017,negative
tlkm,5.81,4,2017,positive
tlkm,7.27,3,2017,positive
tlkm,-0.52,2,2017,negative
tlkm,-2.76,1,2017,negative
tlkm,5.29,12,2016,positive
tlkm,-10.43,11,2016,negative
tlkm,-2.09,10,2016,negative
tlkm,2.38,9,2016,positive
tlkm,-0.47,8,2016,negative
tlkm,6.28,7,2016,positive
tlkm,7.57,6,2016,positive
tlkm,4.23,5,2016,positive
tlkm,6.77,4,2016,positive
tlkm,2.31,3,2016,positive
tlkm,-2.69,2,2016,negative
tlkm,7.57,1,2016,positive
tlkm,5.97,12,2015,positive
tlkm,9.33,11,2015,positive
tlkm,1.32,10,2015,positive
towr,0.00,9,2022,positive
towr,5.53,8,2022,positive
towr,6.82,7,2022,positive
towr,10.00,6,2022,positive
towr,-0.99,5,2022,negative
towr,-5.61,4,2022,negative
towr,3.38,3,2022,positive
towr,0.98,2,2022,positive
towr,-8.89,1,2022,negative
towr,-3.02,12,2021,negative
towr,0.00,11,2021,positive
towr,-12.45,10,2021,negative
towr,-1.12,9,2021,negative
towr,-8.53,8,2021,negative
towr,18.15,7,2021,positive
towr,5.53,6,2021,positive
towr,3.07,5,2021,positive
towr,3.64,4,2021,positive
towr,-13.04,3,2021,negative
towr,31.77,2,2021,positive
towr,0.00,1,2021,positive
towr,-12.33,12,2020,negative
towr,10.61,11,2020,positive
towr,-4.35,10,2020,negative
towr,0.00,9,2020,positive
towr,-8.81,8,2020,negative
towr,11.27,7,2020,positive
towr,6.81,6,2020,positive
towr,6.11,5,2020,positive
towr,33.33,4,2020,positive
towr,-16.15,3,2020,negative
towr,-4.73,2,2020,negative
towr,4.97,1,2020,positive
towr,10.27,12,2019,positive
towr,10.61,11,2019,positive
towr,0.76,10,2019,positive
towr,-7.09,9,2019,negative
towr,-4.73,8,2019,negative
towr,4.96,7,2019,positive
towr,-2.08,6,2019,negative
towr,-7.10,5,2019,negative
towr,-1.27,4,2019,negative
towr,-0.63,3,2019,negative
towr,-6.51,2,2019,negative
towr,22.46,1,2019,positive
towr,31.43,12,2018,positive
towr,8.47,11,2018,positive
towr,-0.82,10,2018,negative
towr,-4.31,9,2018,negative
towr,-2.86,8,2018,negative
towr,-15.32,7,2018,negative
towr,19.23,6,2018,positive
towr,-17.20,5,2018,negative
towr,-12.29,4,2018,negative
towr,0.28,3,2018,positive
towr,-3.77,2,2018,negative
towr,-7.25,1,2018,negative
towr,0.25,12,2017,positive
towr,-2.68,11,2017,negative
towr,-8.28,10,2017,negative
towr,-0.22,9,2017,negative
towr,11.72,8,2017,positive
towr,5.80,7,2017,positive
towr,2.43,6,2017,positive
towr,-4.64,5,2017,negative
towr,0.00,4,2017,positive
towr,9.60,3,2017,positive
towr,1.14,2,2017,positive
towr,-2.23,1,2017,negative
towr,-10.28,12,2016,negative
towr,3.64,11,2016,positive
towr,-1.28,10,2016,negative
towr,-2.50,9,2016,negative
towr,-4.76,8,2016,negative
towr,-1.18,7,2016,negative
towr,0.00,6,2016,positive
towr,3.66,5,2016,positive
towr,-6.82,4,2016,negative
towr,8.64,3,2016,positive
towr,-9.90,2,2016,negative
towr,-5.37,1,2016,negative
towr,13.10,12,2015,positive
towr,5.53,11,2015,positive
towr,-0.25,10,2015,negative
ptba,4.24,9,2022,positive
ptba,-1.16,8,2022,negative
ptba,12.57,7,2022,positive
ptba,-15.67,6,2022,negative
ptba,18.59,5,2022,positive
ptba,16.11,4,2022,positive
