tanggal,saham
2023-01-06,"GOTO,PNLF,BRPT,NICL,ERAA,WIFI,FREN,CPRO,BRMS,BUMI,DSNG,BIPI,MDKA,ANTM,UFOE,PGAS,BNBR,PNBN,ESSA,WMPP,CHEM,MEDC,BBTN,BSBK,BRIS,MPMX,UNVR,BBYB,INKP,MPPA"
2023-01-03,"BRMS,BRPT,BUMI,OMED,BULL,CARE,FREN,ANTM,WMPP,HATM,ADMR,NATO,ENRG,MDKA,BHAT,DEWI,CTRA,BNBR,BEBS,BRIS,DEWA,HEAL,BSBK,CASA,BHIT,KIOS,SCMA,WIFI,JKON,BBYB"
2023-01-05,"GOTO,PNLF,PGAS,BNBR,BSBK,ADRO,MDKA,ACES,IATA,AKRA,BCIP,BRMS,ESSA,BFIN,DGIK,NICL,UNVR,CTRA,HMSP,BBNI,RALS,KIOS,CASA,SIDO,DEWI,EAST,INKP,HRUM,PWON,UNTR"
2023-01-04,"ANTM,BEBS,PNLF,NICL,MDKA,HATM,SIDO,BCIP,BBTN,BMRI,BNBR,CTRA,DEWA,SLIS,MIKA,DSNG,MPMX,TAYS,DGIK,INCO,BRIS,SCMA,ASII,CARE,CASA,MMLP,BBNI,ESSA,HMSP,UNVR"
2023-01-02,"GOTO,WIRG,BULL,ELPI,HATM,KIOS,MPPA,PNLF,CASA,BBYB,PADA,BELI,MTEL,UFOE,ENRG,NATO,IPPE,IATA,SCMA,SLIS,AKRA,CPRO,MEDC,PWON,APLN,DOID,DSNG,HMSP,ANTM,TOWR"
